ID,Poklic
468144,Taekwondoist
468159,Smučarski skakalec
468167,Metalec kopja
468167,Atlet
468186,Jezikoslovec
468186,Prevajalec
468186,Zgodovinar
468186,Pesnik
468186,Pisatelj
468201,Pevec
468204,Atlet
468208,Smučarski skakalec
468211,Novinar
468211,Pisatelj
468216,Šahist
468225,Politik
468225,Odvetnik
468593,Badmintonist
468873,Umetnostni drsalec
468883,Teolog
468883,Redovnik
468883,Duhovnik
471587,Kipar
472099,Kajakaš
472099,Kanuist
472107,Hokejist
472123,Jezikoslovec
472123,Literarni kritik
472123,Prevajalec
472123,Pesnik
472123,Pisatelj
472138,Hokejist
475761,Rokometaš
476450,Biatlonec
481309,Kartograf
481309,Geograf
481309,Pravnik
481309,Politik
481309,Odvetnik
487886,Smučarski tekač
487906,Internist
487906,Bakteriolog
487906,Smučarski tekač
495173,Nogometaš
502843,Kolesar
502843,Športni direktor
502854,Hokejist
502870,Alpski smučar
502913,Alpski smučar
502944,Biatlonec
502985,Alpski smučar
503078,Hokejist
503103,Alpinist
503115,Alpski smučar
503846,Hokejist
504141,Nogometaš
505210,Nogometaš
506526,Alpski smučar
506526,Poslovnež
508421,Univerzitetni profesor
508421,Matematik
510462,Nogometaš
515684,Teolog
515684,Duhovnik
515684,Politik
515684,Pisatelj
515727,Tenisač
523567,Badmintonist
523769,Košarkar
524388,Duhovnik
524864,Redovnik
524864,Duhovnik
524968,Filozof
524968,Umetnostni zgodovinar
524968,Teolog
524968,Duhovnik
530609,Kolesar
532832,Košarkar
533088,Kolesar
535355,Jezikoslovec
535355,Kritik
535355,Novinar
535355,Avtor
535355,Prevajalec
535355,Partizan
535355,Častnik
535355,Pesnik
535355,Pisatelj
542412,Tenisač
542446,Avtor
542446,Pesnik
542446,Učitelj
542446,Pisatelj
542949,Alpski smučar
542961,Prevajalec
542961,Pesnik
542961,Pisatelj
542978,Novinar
542978,Psihoterapevt
542978,Avtor
542978,Pesnik
542978,Pisatelj
543026,Maratonec
543026,Atlet
543037,Alpski smučar
543053,Flavtist
543053,Pevec
543093,Smučar prostega sloga
543553,Entomolog
543553,Slikar
543553,Čebelar
543553,Zoolog
544010,Smučarski skakalec
544010,Študent
545456,Biatlonec
549347,Alpski smučar
551200,Nogometaš
551267,Zbiratelj
551267,Založnik
551267,Aristokrat
551267,Kartograf
551267,Geograf
551267,Polihistor
551267,Pisatelj
551358,Alpski smučar
553524,Nogometaš
554492,Univerzitetni profesor
554492,Matematik
560656,Urednik
560656,Dramatik
560656,Diplomat
560656,Politik
560656,Pisatelj
560656,Literarni zgodovinar
560656,Sociolog
560656,Univerzitetni profesor
561734,Športni strelec
561804,Urednik
561804,Arhivist
561804,Duhovnik
561804,Pesnik
561804,Pisatelj
563004,Direktor fotografije
563349,Univerzitetni profesor
563349,Teolog
563349,Duhovnik
569236,Nogometaš
569241,Nogometaš
569368,Alpski smučar
572461,Univerzitetni profesor
572461,Arhitekt
574516,Jezikoslovec
574516,Redovnik
574516,Prevajalec
574516,Duhovnik
574516,Pesnik
575492,Leksikograf
575492,Jezikoslovec
575492,Etnolog
575492,Škof
575492,Duhovnik
579636,Prevajalec
579636,Dramatik
579636,Pesnik
579636,Učitelj
579636,Pisatelj
579636,Slavist
579636,Esejist
579636,Kritik
579636,Literarni kritik
580185,Biatlonec
580185,Učitelj telesne vzgoje
581808,Pravnik
581808,Pesnik
581808,Odvetnik
581911,Kolesar
582807,Atlet
586826,Alpski smučar
588808,Operni pevec
588808,Orglavec
588808,Pevec
589469,Jezikoslovec
589469,Urednik
589469,Prevajalec
589469,Pesnik
589469,Učitelj
589469,Pisatelj
590116,Pomorski častnik
591809,Teolog
591809,Pedagog
591809,Škof
591809,Duhovnik
591809,Pesnik
591809,Skladatelj
591809,Pisatelj
591924,Izdelovalec glasbil
594563,Nogometaš
594563,Zdravnik
594866,Zgodovinar
594866,Pesnik
594866,Pisatelj
594866,Dramatik
596610,Nogometaš
596610,Nogometni trener
